Trial,P(A=1),P(B=1),P(C=1),P(D=1),P(A=1|C=1),P(A=1|do(C=1)),"P(A_C=1=1|A=1,C=1)"
78,0.0635,0.49,0.4994,0.5027,0.06487785342410893,0.0635,0.5102362204724409
79,0.0602,0.5073,0.5052,0.4975,0.058986539984164685,0.0602,0.4950166112956811
80,0.0651,0.4939,0.4961,0.4995,0.06893771417053013,0.0651,0.5253456221198156
81,0.0618,0.5029,0.5045,0.5001,0.06323092170465808,0.0618,0.5161812297734627
82,0.0569,0.5019,0.4942,0.5039,0.059692432213678676,0.0569,0.5184534270650264
83,0.0601,0.4987,0.5003,0.5021,0.05896462122726364,0.0601,0.49084858569051576
84,0.0628,0.4967,0.5014,0.5047,0.06142800159553251,0.0628,0.4904458598726115
85,0.0591,0.4969,0.5063,0.4971,0.05747580485877938,0.0591,0.4923857868020305
86,0.0638,0.4942,0.4961,0.4923,0.06248740173352147,0.0638,0.4858934169278997
87,0.0642,0.5065,0.5025,0.4942,0.06865671641791045,0.0642,0.5373831775700936
88,0.0611,0.4963,0.5039,0.5004,0.06092478666402064,0.0611,0.502454991816694
89,0.0639,0.4985,0.4992,0.5088,0.06490384615384616,0.0639,0.5070422535211268
90,0.0619,0.5035,0.5007,0.5023,0.06351108448172559,0.0619,0.5137318255250405
91,0.0607,0.5018,0.5155,0.4939,0.061105722599418044,0.0607,0.5189456342668863
92,0.0605,0.5038,0.4976,0.5023,0.06028938906752412,0.0605,0.49586776859504134
93,0.0607,0.5076,0.5028,0.4945,0.057080350039777246,0.0607,0.4728171334431631
94,0.0628,0.4996,0.5084,0.5126,0.05999213217938631,0.0628,0.4856687898089172
95,0.0663,0.5005,0.5047,0.5028,0.06459282742223103,0.0663,0.4917043740573152
96,0.0619,0.4934,0.5016,0.4932,0.06359649122807018,0.0619,0.5153473344103392
97,0.0638,0.5003,0.5001,0.4931,0.06418716256748651,0.0638,0.5031347962382445
98,0.0632,0.5045,0.5046,0.4963,0.061038446294094335,0.0632,0.4873417721518987
99,0.059,0.5047,0.4939,0.5031,0.06155092123911723,0.059,0.5152542372881356
100,0.062,0.4975,0.5026,0.5021,0.060485475527258255,0.062,0.49032258064516127
101,0.0598,0.4999,0.5004,0.4939,0.05555555555555555,0.0598,0.4648829431438127
102,0.063,0.5003,0.4977,0.5052,0.06429576049829214,0.063,0.5079365079365079
103,0.0606,0.4976,0.4953,0.5043,0.060165556228548356,0.0606,0.49174917491749176
104,0.0626,0.4917,0.5037,0.4985,0.06472106412547152,0.0626,0.5207667731629392
105,0.0642,0.5073,0.5033,0.4972,0.06358036956089808,0.0642,0.49844236760124616
106,0.0654,0.4983,0.4952,0.5012,0.06865912762520193,0.0654,0.5198776758409787
107,0.0615,0.4993,0.4923,0.51,0.059313426772293315,0.0615,0.47479674796747967
108,0.0648,0.4913,0.5042,0.4987,0.06664022213407378,0.0648,0.5185185185185185
109,0.0627,0.5018,0.496,0.5003,0.06471774193548387,0.0627,0.5119617224880382
110,0.0604,0.4971,0.4995,0.4981,0.05885885885885886,0.0604,0.4867549668874172
111,0.0576,0.5012,0.4973,0.4979,0.05952141564448019,0.0576,0.513888888888889
112,0.0575,0.4986,0.4932,0.501,0.05494728304947283,0.0575,0.47130434782608693
113,0.0611,0.4984,0.501,0.4997,0.05808383233532934,0.0611,0.4762684124386252
114,0.0615,0.4997,0.5057,0.5018,0.0648605892821831,0.0615,0.5333333333333334
115,0.0654,0.5041,0.4992,0.5042,0.06390224358974358,0.0654,0.4877675840978593
116,0.062,0.5025,0.5023,0.5019,0.06510053752737407,0.062,0.5274193548387097
117,0.0627,0.5003,0.4997,0.4848,0.06724034420652392,0.0627,0.5358851674641147
118,0.0615,0.5047,0.4931,0.5082,0.06225917663759886,0.0615,0.4991869918699187
119,0.0623,0.5068,0.5041,0.51,0.06268597500495933,0.0623,0.507223113964687
120,0.0641,0.4934,0.4999,0.5043,0.0652130426085217,0.0641,0.5085803432137285
121,0.0635,0.4968,0.5033,0.4957,0.06258692628650904,0.0635,0.49606299212598426
122,0.0702,0.4994,0.4959,0.5035,0.06856221012300867,0.0702,0.48433048433048437
123,0.0596,0.4968,0.5037,0.4961,0.052213619217788367,0.0596,0.4412751677852349
124,0.0617,0.4847,0.4938,0.4978,0.058728230052652895,0.0617,0.47001620745542955
125,0.0638,0.5003,0.5099,0.5037,0.06138458521278682,0.0638,0.4905956112852665
126,0.0606,0.502,0.5025,0.4963,0.060298507462686564,0.0606,0.5
127,0.0634,0.5061,0.4964,0.4992,0.06506849315068493,0.0634,0.5094637223974764
128,0.0582,0.4974,0.493,0.5088,0.05943204868154158,0.0582,0.5034364261168385
129,0.059,0.5037,0.5019,0.5003,0.05658497708706914,0.059,0.4813559322033899
130,0.0643,0.4931,0.4984,0.493,0.06500802568218299,0.0643,0.5038880248833593
131,0.0633,0.4996,0.4941,0.5043,0.0603116777980166,0.0633,0.4707740916271722
132,0.0602,0.4913,0.4929,0.4978,0.06309596266991276,0.0602,0.5166112956810631
133,0.0622,0.503,0.4941,0.4978,0.05869257235377454,0.0622,0.46623794212218655
134,0.0664,0.4996,0.4972,0.505,0.06395816572807723,0.0664,0.4789156626506024
135,0.0619,0.5072,0.5055,0.4997,0.06132542037586548,0.0619,0.5008077544426495
136,0.0595,0.4973,0.4973,0.4995,0.05891815805348884,0.0595,0.492436974789916
137,0.0625,0.4953,0.5017,0.4966,0.06517839346222842,0.0625,0.5232
138,0.0665,0.5061,0.5027,0.4947,0.06484981102048935,0.0665,0.49022556390977434
139,0.067,0.4978,0.5033,0.4999,0.06596463341943175,0.067,0.49552238805970145
140,0.0619,0.4962,0.4937,0.4994,0.06096819931132266,0.0619,0.4862681744749596
141,0.0655,0.4931,0.4899,0.5065,0.06531945294958155,0.0655,0.48854961832061067
142,0.0592,0.4933,0.4972,0.4963,0.05551086082059534,0.0592,0.4662162162162162
143,0.0616,0.5042,0.5038,0.5078,0.05855498213576816,0.0616,0.4788961038961039
144,0.0635,0.5011,0.492,0.5003,0.06565040650406503,0.0635,0.5086614173228347
145,0.0572,0.5015,0.5005,0.5047,0.05974025974025974,0.0572,0.5227272727272727
146,0.064,0.4938,0.4948,0.4969,0.06689571544058205,0.064,0.5171874999999999
147,0.0658,0.5061,0.499,0.4969,0.0655310621242485,0.0658,0.4969604863221885
148,0.064,0.4852,0.5028,0.5015,0.06225139220365951,0.064,0.4890625
149,0.0648,0.4992,0.4984,0.5003,0.0630016051364366,0.0648,0.4845679012345679
150,0.0594,0.4971,0.4944,0.4981,0.055825242718446605,0.0594,0.46464646464646464
151,0.058,0.4992,0.4932,0.4998,0.05494728304947283,0.058,0.46724137931034476
152,0.061,0.5007,0.5069,0.5092,0.059380548431643324,0.061,0.49344262295081964
153,0.0588,0.4962,0.4975,0.4973,0.06030150753768844,0.0588,0.5102040816326531
154,0.0601,0.5005,0.5074,0.5077,0.061884115096570755,0.0601,0.5224625623960066
155,0.0598,0.4974,0.5002,0.4928,0.062375049980008,0.0598,0.5217391304347826
156,0.0601,0.4977,0.5009,0.5031,0.058295068876023155,0.0601,0.4858569051580699
157,0.0654,0.5107,0.5013,0.4997,0.06403351286654697,0.0654,0.49082568807339444
158,0.0643,0.5057,0.5062,0.4999,0.06400632161201106,0.0643,0.5038880248833593
159,0.0589,0.4964,0.5007,0.4959,0.057120031955262635,0.0589,0.4855687606112054
160,0.0626,0.5019,0.5028,0.5045,0.0624502784407319,0.0626,0.5015974440894568
161,0.0613,0.4976,0.4969,0.4925,0.06097806399678004,0.0613,0.49429037520391517
162,0.0632,0.5027,0.5043,0.4972,0.062462819750148724,0.0632,0.4984177215189873
163,0.064,0.5031,0.5014,0.5011,0.06521739130434782,0.064,0.5109374999999999
164,0.0625,0.4995,0.4939,0.4985,0.060943510832152256,0.0625,0.4816
165,0.0646,0.5077,0.5002,0.5066,0.06057576969212315,0.0646,0.46904024767801855
166,0.0638,0.4953,0.5043,0.4993,0.06563553440412453,0.0638,0.5188087774294671
167,0.061,0.4899,0.5023,0.5064,0.05992434799920366,0.061,0.49344262295081964
168,0.0631,0.4979,0.5104,0.4914,0.06465517241379311,0.0631,0.5229793977812995
169,0.0656,0.4998,0.5002,0.4984,0.0667732906837265,0.0656,0.5091463414634145
170,0.0579,0.4991,0.5087,0.5011,0.05661490072734421,0.0579,0.49740932642487046
171,0.0607,0.4934,0.5042,0.4987,0.06069020230067434,0.0607,0.5041186161449753
172,0.0582,0.5093,0.4986,0.4913,0.0587645407139992,0.0582,0.5034364261168385
173,0.0634,0.502,0.5059,0.5047,0.06720695789681755,0.0634,0.5362776025236594
174,0.0615,0.5012,0.4958,0.4952,0.06232351754739814,0.0615,0.5024390243902439
175,0.0652,0.502,0.4997,0.4926,0.06543926355813488,0.0652,0.5015337423312883
176,0.0661,0.4985,0.5017,0.4938,0.0727526410205302,0.0661,0.5521936459909228
177,0.0632,0.5091,0.5101,0.4926,0.06586943736522251,0.0632,0.5316455696202531
178,0.0616,0.496,0.4963,0.5085,0.06125327422929679,0.0616,0.4935064935064935
179,0.0618,0.501,0.5022,0.5044,0.060732775786539225,0.0618,0.49352750809061485
180,0.0618,0.4915,0.5055,0.5016,0.06013847675568744,0.0618,0.4919093851132686
181,0.0635,0.4952,0.5105,0.5003,0.061116552399608226,0.0635,0.49133858267716535
182,0.0618,0.4963,0.5015,0.5062,0.06061814556331007,0.0618,0.4919093851132686
183,0.0644,0.5022,0.4962,0.4913,0.06489318823055219,0.0644,0.5
184,0.0662,0.5005,0.5041,0.5098,0.06387621503669907,0.0662,0.486404833836858
185,0.0637,0.4957,0.504,0.5027,0.06587301587301587,0.0637,0.521193092621664
186,0.0616,0.5042,0.5034,0.5015,0.06098529996027016,0.0616,0.49837662337662336
187,0.0623,0.4956,0.5032,0.5022,0.06379173290937996,0.0623,0.5152487961476725
188,0.0601,0.5134,0.5082,0.4943,0.05922865013774105,0.0601,0.5008319467554077
189,0.0604,0.5033,0.4956,0.5068,0.061945117029862794,0.0604,0.5082781456953642
190,0.0623,0.4984,0.4991,0.5021,0.061711079943899017,0.0623,0.4943820224719101
191,0.06,0.5042,0.5067,0.5048,0.06039076376554174,0.06,0.51
192,0.0591,0.4881,0.4917,0.5024,0.058368924140736224,0.0591,0.4856175972927242
193,0.0598,0.4972,0.4965,0.4914,0.05720040281973817,0.0598,0.47491638795986624
194,0.0642,0.5002,0.4999,0.501,0.06581316263252651,0.0642,0.5124610591900312
195,0.0581,0.4934,0.4934,0.487,0.05999189298743413,0.0581,0.5094664371772806
196,0.0666,0.5022,0.5036,0.5024,0.061953931691818905,0.0666,0.4684684684684684
197,0.0618,0.5056,0.505,0.4907,0.06099009900990099,0.0618,0.49838187702265374
198,0.0642,0.4951,0.4953,0.5023,0.06985665253381788,0.0642,0.5389408099688474
199,0.0583,0.4938,0.5,0.5059,0.057,0.0583,0.4888507718696398
200,0.0648,0.5087,0.4952,0.4997,0.06340872374798061,0.0648,0.4845679012345679
